Match,Result,totalGold,goldDiff,totalKills,totalDeaths,totalAssists,KD_rat,indGold,indKills,indDeaths,indAssists
R9,0,46819,-10867,9,16,12,-7,"[9513, 8732, 11407, 10556, 6611]","[2, 0, 5, 2, 0]","[5, 3, 3, 4, 1]","[1, 5, 3, 0, 3]"
B10,1,79673,12212,5,4,13,1,"[16853, 14510, 17169, 20656, 10485]","[0, 0, 1, 4, 0]","[0, 0, 2, 0, 2]","[3, 3, 3, 0, 4]"
R10,0,67461,-12212,4,5,9,-1,"[14409, 11468, 16747, 16383, 8454]","[0, 0, 2, 2, 0]","[0, 3, 1, 1, 0]","[3, 3, 1, 1, 1]"
B11,1,70891,498,16,14,33,2,"[16398, 11753, 15294, 16509, 10937]","[5, 2, 4, 5, 0]","[4, 2, 3, 2, 3]","[3, 9, 5, 5, 11]"
R11,0,70393,-498,14,16,37,-2,"[15186, 12951, 16774, 16207, 9275]","[3, 1, 6, 4, 0]","[3, 3, 4, 4, 2]","[9, 8, 5, 5, 10]"
B12,1,67964,15884,15,3,37,12,"[12945, 13257, 15869, 15544, 10349]","[1, 3, 4, 4, 3]","[0, 1, 1, 0, 1]","[4, 9, 8, 7, 9]"
R12,0,52080,-15884,3,15,8,-12,"[10580, 9819, 13025, 11131, 7525]","[0, 0, 2, 0, 1]","[3, 4, 3, 3, 2]","[2, 2, 1, 2, 1]"
B13,0,40857,-10854,4,12,8,-8,"[8160, 7458, 9870, 9735, 5634]","[0, 0, 1, 3, 0]","[3, 2, 2, 3, 2]","[1, 3, 0, 1, 3]"
R13,1,51711,10854,12,4,31,8,"[9148, 10445, 11838, 12616, 7664]","[0, 2, 6, 2, 2]","[1, 1, 0, 0, 2]","[7, 8, 4, 6, 6]"
B14,1,54782,10191,13,4,36,9,"[11084, 9484, 11979, 13339, 8896]","[0, 0, 6, 4, 3]","[1, 0, 0, 1, 2]","[8, 11, 3, 5, 9]"
R14,0,44591,-10191,4,13,10,-9,"[9511, 8451, 9315, 11071, 6243]","[0, 1, 0, 2, 1]","[4, 1, 5, 2, 1]","[3, 2, 2, 0, 3]"
B15,1,59361,7085,15,7,35,8,"[10609, 11389, 13543, 14189, 9631]","[2, 2, 6, 3, 2]","[2, 1, 2, 2, 0]","[8, 7, 4, 5, 11]"
R15,0,52276,-7085,7,15,20,-8,"[11262, 11519, 9899, 12648, 6948]","[1, 1, 3, 2, 0]","[3, 1, 6, 2, 3]","[4, 5, 2, 3, 6]"
B16,0,50744,-20606,2,21,8,-19,"[11679, 8850, 11170, 11771, 7274]","[1, 0, 0, 1, 0]","[3, 6, 4, 5, 3]","[1, 2, 2, 1, 2]"
R16,1,71350,20606,21,2,44,19,"[14285, 12651, 17617, 16627, 10170]","[3, 6, 9, 3, 0]","[0, 0, 1, 1, 0]","[11, 6, 4, 8, 15]"
B17,1,61601,12327,13,1,42,12,"[12500, 10462, 13375, 16029, 9235]","[3, 0, 2, 7, 1]","[0, 0, 0, 1, 0]","[4, 13, 9, 5, 11]"
R17,0,49274,-12327,1,13,3,-12,"[10427, 8210, 10969, 13114, 6554]","[0, 0, 1, 0, 0]","[2, 3, 4, 1, 3]","[1, 1, 0, 1, 0]"
B18,1,64058,2002,20,14,54,6,"[13199, 10989, 15325, 14681, 9864]","[3, 2, 5, 8, 2]","[1, 7, 1, 2, 3]","[12, 11, 6, 8, 17]"
R18,0,62056,-2002,14,20,42,-6,"[12084, 11427, 13441, 15589, 9515]","[2, 2, 1, 9, 0]","[4, 1, 8, 3, 4]","[8, 10, 9, 3, 12]"
B19,0,60829,-2297,15,19,41,-4,"[12311, 10705, 12750, 16758, 8305]","[1, 3, 1, 9, 1]","[5, 3, 4, 3, 4]","[10, 4, 9, 5, 13]"
R19,1,63126,2297,19,15,61,4,"[13449, 11187, 14014, 15864, 8612]","[4, 0, 5, 9, 1]","[3, 6, 4, 2, 0]","[11, 16, 9, 8, 17]"
B20,0,71651,-18207,12,27,16,-15,"[14224, 13059, 17224, 17181, 9963]","[0, 1, 4, 5, 2]","[6, 8, 5, 4, 4]","[5, 4, 2, 1, 4]"
R20,1,89858,18207,27,12,62,15,"[17619, 16192, 22956, 21330, 11761]","[2, 2, 11, 11, 1]","[4, 3, 2, 1, 2]","[13, 19, 9, 8, 13]"
B21,1,57704,10679,17,4,43,13,"[11808, 12004, 11506, 13991, 8395]","[3, 4, 3, 5, 2]","[1, 1, 0, 1, 1]","[7, 9, 7, 10, 10]"
R21,0,47025,-10679,4,17,11,-13,"[11609, 8497, 11492, 9505, 5922]","[1, 1, 2, 0, 0]","[2, 4, 4, 1, 6]","[3, 2, 1, 3, 2]"
B22,0,50216,-12756,6,18,6,-12,"[12039, 9459, 10787, 11057, 6874]","[2, 0, 0, 3, 1]","[2, 6, 3, 2, 5]","[0, 2, 0, 1, 3]"
R22,1,62972,12756,18,6,48,12,"[12349, 11546, 15256, 14508, 9313]","[1, 2, 7, 7, 1]","[3, 0, 0, 2, 1]","[9, 12, 7, 8, 12]"
B23,1,71947,15809,10,4,21,6,"[14879, 13166, 16468, 17824, 9610]","[2, 3, 2, 3, 0]","[0, 1, 0, 1, 2]","[3, 4, 3, 4, 7]"
R23,0,56138,-15809,4,10,8,-6,"[12281, 9116, 12326, 14388, 8027]","[0, 1, 1, 1, 1]","[2, 6, 1, 1, 0]","[2, 2, 0, 2, 2]"
B24,0,44256,-17768,10,21,30,-11,"[8735, 7977, 10112, 11195, 6237]","[2, 1, 3, 4, 0]","[5, 6, 5, 2, 3]","[6, 8, 4, 4, 8]"
R24,1,62024,17768,21,10,46,11,"[12563, 11044, 14053, 14816, 9548]","[4, 2, 9, 5, 1]","[3, 3, 1, 2, 1]","[9, 9, 7, 7, 14]"
B25,1,50894,11389,6,4,13,2,"[10261, 10140, 10797, 12135, 7561]","[2, 2, 1, 1, 0]","[2, 0, 0, 1, 1]","[1, 1, 3, 3, 5]"
R25,0,39505,-11389,4,6,9,-2,"[7532, 7167, 9344, 9994, 5468]","[1, 1, 1, 1, 0]","[3, 3, 0, 0, 0]","[0, 3, 2, 1, 3]"
B26,1,64844,14013,16,7,38,9,"[11328, 12329, 16115, 16082, 8990]","[0, 3, 10, 3, 0]","[2, 2, 1, 1, 1]","[11, 8, 4, 5, 10]"
R26,0,50831,-14013,7,16,26,-9,"[9510, 9373, 11581, 13478, 6889]","[0, 2, 2, 3, 0]","[4, 4, 4, 3, 1]","[7, 4, 5, 3, 7]"
B27,0,58442,-8494,8,18,18,-10,"[12791, 9937, 14060, 13398, 8256]","[3, 0, 2, 1, 2]","[6, 3, 3, 2, 4]","[5, 3, 2, 6, 2]"
R27,1,66936,8494,18,8,53,10,"[13595, 11920, 14459, 17342, 9620]","[5, 1, 2, 9, 1]","[2, 4, 1, 0, 1]","[9, 12, 10, 7, 15]"
B28,1,56452,17675,17,3,36,14,"[11667, 10567, 13391, 12540, 8287]","[4, 2, 4, 6, 1]","[1, 2, 0, 0, 0]","[4, 10, 10, 3, 9]"
R28,0,38777,-17675,3,17,8,-14,"[7581, 7011, 9616, 9205, 5364]","[0, 1, 2, 0, 0]","[3, 4, 4, 3, 3]","[2, 1, 1, 1, 3]"
B29,1,55041,15337,18,4,43,14,"[10747, 9698, 13219, 13202, 8175]","[2, 1, 10, 5, 0]","[0, 2, 1, 1, 0]","[7, 7, 6, 9, 14]"
R29,0,39704,-15337,4,18,12,-14,"[8011, 7232, 9913, 8363, 6185]","[0, 0, 1, 1, 2]","[5, 4, 4, 3, 2]","[4, 2, 2, 2, 2]"
B30,0,63609,-6778,8,16,18,-8,"[14845, 10857, 12409, 16938, 8560]","[2, 2, 1, 3, 0]","[5, 4, 3, 1, 3]","[3, 4, 3, 2, 6]"
R30,1,70387,6778,16,8,39,8,"[12968, 13456, 15475, 17630, 10858]","[1, 1, 8, 6, 0]","[0, 3, 1, 3, 1]","[8, 8, 3, 6, 14]"
B31,1,73235,9758,30,12,85,18,"[13854, 14132, 15745, 18078, 11426]","[2, 8, 8, 10, 2]","[4, 4, 1, 1, 2]","[16, 17, 17, 12, 23]"
R31,0,63477,-9758,12,30,36,-18,"[13195, 12806, 14249, 14622, 8605]","[4, 4, 0, 4, 0]","[6, 6, 6, 5, 7]","[7, 7, 8, 5, 9]"
B32,0,31786,-14651,1,7,3,-6,"[7035, 5824, 6529, 7831, 4567]","[0, 0, 0, 0, 1]","[1, 3, 1, 0, 2]","[0, 1, 1, 1, 0]"
R32,1,46437,14651,7,1,19,6,"[9004, 10275, 9596, 10813, 6749]","[0, 2, 1, 2, 2]","[0, 0, 1, 0, 0]","[3, 5, 4, 3, 4]"
B33,0,44815,-16543,3,18,9,-15,"[8633, 8205, 10103, 11815, 6059]","[0, 0, 2, 1, 0]","[4, 5, 2, 2, 5]","[2, 2, 1, 2, 2]"
R33,1,61358,16543,18,3,45,15,"[11203, 12250, 13885, 14559, 9461]","[4, 2, 4, 6, 2]","[0, 0, 1, 1, 1]","[7, 13, 6, 7, 12]"
B34,0,65000,-16933,17,25,47,-8,"[11390, 11720, 12993, 18726, 10171]","[2, 1, 1, 12, 1]","[8, 5, 4, 5, 3]","[6, 14, 8, 4, 15]"
R34,1,81933,16933,25,17,70,8,"[16120, 15472, 18427, 20649, 11265]","[3, 4, 8, 10, 0]","[6, 2, 4, 4, 1]","[14, 17, 9, 10, 20]"
B35,1,63371,10377,16,8,47,8,"[12014, 10841, 13758, 17204, 9554]","[2, 1, 4, 8, 1]","[3, 2, 1, 0, 2]","[9, 11, 8, 7, 12]"
R35,0,52994,-10377,8,16,16,-8,"[10784, 10500, 10743, 13607, 7360]","[2, 0, 2, 3, 1]","[4, 3, 3, 4, 2]","[4, 4, 2, 1, 5]"
B36,1,72105,12624,24,11,51,13,"[14809, 15382, 17473, 14558, 9883]","[6, 6, 8, 4, 0]","[2, 1, 2, 3, 3]","[10, 11, 5, 10, 15]"
R36,0,59481,-12624,11,24,29,-13,"[11957, 11494, 12331, 14945, 8754]","[2, 2, 2, 4, 1]","[7, 4, 5, 2, 6]","[5, 8, 3, 4, 9]"
B37,0,71614,-1425,15,20,28,-5,"[15067, 13595, 15245, 17040, 10667]","[4, 3, 3, 3, 2]","[3, 4, 5, 4, 4]","[5, 6, 5, 5, 7]"
R37,1,73039,1425,20,15,61,5,"[14141, 13006, 16685, 18467, 10740]","[2, 1, 7, 9, 1]","[3, 3, 2, 4, 3]","[9, 18, 8, 10, 16]"
B38,1,86781,18027,24,11,57,13,"[18116, 16674, 19489, 21136, 11366]","[7, 4, 7, 5, 1]","[2, 3, 1, 2, 3]","[14, 12, 6, 10, 15]"
R38,0,68754,-18027,11,24,32,-13,"[13425, 11372, 17275, 17132, 9550]","[0, 1, 6, 4, 0]","[5, 4, 7, 5, 3]","[6, 8, 4, 4, 10]"
B39,1,67932,10518,27,15,68,12,"[15575, 11408, 14475, 16709, 9765]","[4, 2, 10, 8, 3]","[1, 6, 1, 2, 5]","[18, 16, 9, 11, 14]"
R39,0,57414,-10518,15,27,32,-12,"[11458, 10712, 12374, 13821, 9049]","[4, 4, 1, 6, 0]","[6, 5, 7, 5, 4]","[4, 4, 7, 6, 11]"
B40,0,58569,-4450,7,10,10,-3,"[13828, 11000, 12792, 13004, 7945]","[3, 0, 1, 3, 0]","[2, 2, 3, 2, 1]","[1, 2, 1, 2, 4]"
R40,1,63019,4450,10,7,29,3,"[11069, 11586, 14829, 16570, 8965]","[0, 2, 3, 3, 2]","[2, 2, 1, 0, 2]","[7, 6, 5, 5, 6]"
B41,0,70221,-4570,13,20,39,-7,"[14491, 13677, 15302, 16801, 9950]","[0, 2, 6, 4, 1]","[5, 1, 7, 4, 3]","[10, 10, 4, 7, 8]"
R41,1,74791,4570,20,13,59,7,"[14645, 13000, 14065, 22406, 10675]","[3, 0, 3, 13, 1]","[3, 4, 2, 2, 2]","[13, 13, 12, 5, 16]"
B42,1,64875,14712,14,3,34,11,"[13062, 13470, 13266, 15737, 9340]","[2, 2, 2, 6, 2]","[0, 1, 1, 0, 1]","[9, 7, 8, 3, 7]"
R42,0,50163,-14712,3,14,2,-11,"[10313, 9224, 12598, 11585, 6443]","[1, 0, 2, 0, 0]","[4, 3, 2, 2, 3]","[0, 1, 1, 0, 0]"
B43,0,45351,-13040,5,14,14,-9,"[8424, 8468, 10502, 11624, 6333]","[0, 0, 2, 3, 0]","[1, 5, 3, 3, 2]","[4, 3, 1, 2, 4]"
R43,1,58391,13040,14,5,42,9,"[11904, 11625, 13666, 13026, 8170]","[5, 2, 6, 1, 0]","[1, 0, 0, 1, 3]","[8, 9, 7, 7, 11]"
B44,1,40826,10296,10,2,21,8,"[7786, 7963, 9120, 9709, 6248]","[0, 3, 4, 3, 0]","[1, 0, 0, 1, 0]","[3, 1, 5, 3, 9]"
R44,0,30530,-10296,2,10,4,-8,"[6391, 6446, 6704, 6754, 4235]","[0, 2, 0, 0, 0]","[2, 3, 3, 1, 1]","[2, 0, 0, 1, 1]"
B45,1,70311,6271,15,11,46,4,"[13843, 14268, 15522, 17046, 9632]","[2, 4, 3, 6, 0]","[4, 3, 2, 1, 1]","[10, 7, 10, 7, 12]"
R45,0,64040,-6271,11,15,35,-4,"[10903, 11304, 15986, 17376, 8471]","[1, 0, 7, 2, 1]","[4, 5, 0, 2, 4]","[6, 11, 2, 9, 7]"
B46,1,90523,1329,23,21,48,2,"[18807, 19103, 18848, 21466, 12299]","[4, 7, 2, 10, 0]","[5, 3, 5, 3, 5]","[10, 6, 10, 10, 12]"
R46,0,89194,-1329,21,23,61,-2,"[17650, 13724, 21094, 25071, 11655]","[1, 2, 2, 16, 0]","[6, 5, 4, 4, 4]","[5, 19, 15, 2, 20]"
B47,0,70262,-14352,12,26,36,-14,"[13417, 12614, 16042, 18643, 9546]","[1, 4, 2, 5, 0]","[4, 5, 6, 4, 7]","[6, 8, 7, 5, 10]"
R47,1,84614,14352,26,12,74,14,"[19051, 15514, 18518, 20156, 11375]","[4, 2, 13, 6, 1]","[3, 4, 2, 2, 1]","[14, 17, 9, 15, 19]"
B48,0,45053,-12468,9,20,22,-11,"[8811, 8778, 9620, 11239, 6605]","[2, 2, 2, 1, 2]","[7, 5, 3, 0, 5]","[3, 5, 4, 5, 5]"
R48,1,57521,12468,20,9,45,11,"[12163, 10293, 14233, 12347, 8485]","[5, 4, 8, 2, 1]","[4, 1, 0, 1, 3]","[8, 11, 5, 8, 13]"
B49,1,52046,14094,14,5,45,9,"[10450, 9547, 13170, 11533, 7346]","[2, 1, 6, 5, 0]","[1, 3, 0, 0, 1]","[12, 11, 4, 7, 11]"
R49,0,37952,-14094,5,14,12,-9,"[7787, 7029, 7809, 9698, 5629]","[2, 1, 0, 1, 1]","[3, 5, 2, 2, 2]","[2, 4, 0, 2, 4]"
B50,0,45062,-13825,3,10,6,-7,"[9820, 8221, 10141, 10781, 6099]","[0, 2, 1, 0, 0]","[1, 3, 3, 1, 2]","[3, 1, 0, 0, 2]"
R50,1,58887,13825,10,3,29,7,"[11995, 11959, 13139, 13670, 8124]","[2, 3, 4, 1, 0]","[0, 1, 1, 0, 1]","[8, 6, 3, 6, 6]"
B51,1,77749,165,18,11,38,7,"[16167, 15625, 18132, 17693, 10132]","[8, 2, 4, 3, 1]","[4, 0, 3, 2, 2]","[4, 13, 7, 5, 9]"
R51,0,77584,-165,11,18,34,-7,"[14250, 13195, 20289, 19038, 10812]","[1, 2, 4, 4, 0]","[5, 7, 2, 2, 2]","[7, 6, 7, 4, 10]"
B52,1,53344,14275,13,3,28,10,"[11737, 10631, 11822, 11947, 7207]","[8, 2, 1, 2, 0]","[2, 0, 0, 0, 1]","[2, 6, 5, 5, 10]"
R52,0,39069,-14275,3,13,4,-10,"[7743, 7397, 9291, 9513, 5125]","[0, 0, 0, 2, 1]","[3, 2, 2, 3, 3]","[0, 1, 1, 0, 2]"
B53,1,62572,17769,20,6,51,14,"[12058, 12462, 14971, 13930, 9151]","[4, 4, 7, 5, 0]","[1, 1, 1, 2, 1]","[6, 10, 8, 9, 18]"
R53,0,44803,-17769,6,20,5,-14,"[10259, 7587, 10145, 10898, 5914]","[0, 0, 3, 3, 0]","[4, 7, 3, 3, 3]","[2, 2, 0, 0, 1]"
B54,1,54095,19228,15,3,50,12,"[8913, 10021, 12804, 13977, 8380]","[0, 0, 6, 8, 1]","[0, 1, 1, 0, 1]","[12, 14, 7, 4, 13]"
R54,0,34867,-19228,3,15,11,-12,"[6935, 6122, 7643, 9411, 4756]","[1, 0, 1, 1, 0]","[5, 4, 1, 3, 2]","[2, 2, 2, 2, 3]"
B55,1,57140,16302,15,3,38,12,"[10647, 11682, 13185, 13791, 7835]","[1, 3, 5, 6, 0]","[0, 2, 0, 0, 1]","[9, 7, 8, 6, 8]"
R55,0,40838,-16302,3,15,7,-12,"[7799, 7836, 10211, 9634, 5358]","[2, 0, 1, 0, 0]","[4, 2, 4, 0, 5]","[0, 2, 1, 2, 2]"
B56,1,54032,17304,16,2,46,14,"[9571, 11793, 12413, 11918, 8337]","[2, 1, 4, 6, 3]","[1, 0, 1, 0, 0]","[8, 11, 9, 6, 12]"
R56,0,36728,-17304,2,16,5,-14,"[6591, 6924, 8467, 9801, 4945]","[0, 0, 0, 2, 0]","[5, 3, 2, 3, 3]","[0, 2, 1, 0, 2]"
B57,1,69240,5384,21,11,65,10,"[13396, 12555, 16721, 16033, 10535]","[2, 3, 7, 7, 2]","[1, 4, 1, 2, 3]","[16, 17, 8, 9, 15]"
R57,0,63856,-5384,11,21,26,-10,"[13888, 13729, 14059, 13768, 8412]","[2, 4, 3, 2, 0]","[7, 2, 2, 5, 5]","[7, 5, 4, 3, 7]"
B58,0,86466,-8207,15,22,37,-7,"[15534, 15598, 19591, 22866, 12877]","[1, 1, 3, 9, 1]","[4, 3, 5, 4, 6]","[7, 7, 6, 5, 12]"
R58,1,94673,8207,22,15,62,7,"[18043, 17172, 21879, 24351, 13228]","[1, 0, 6, 14, 1]","[1, 4, 4, 4, 2]","[16, 16, 10, 2, 18]"
B59,1,66716,15563,19,5,37,14,"[13627, 14277, 14836, 14759, 9217]","[7, 8, 3, 0, 1]","[2, 0, 2, 1, 0]","[7, 8, 4, 7, 11]"
R59,0,51153,-15563,5,19,9,-14,"[9589, 8829, 12745, 12516, 7474]","[1, 1, 0, 1, 2]","[5, 3, 3, 3, 5]","[0, 2, 3, 1, 3]"
B60,1,76901,2144,20,10,29,10,"[15922, 13093, 17134, 19184, 11568]","[6, 1, 6, 4, 3]","[4, 1, 1, 2, 2]","[6, 7, 5, 4, 7]"
R60,0,74757,-2144,10,20,24,-10,"[15609, 13963, 16165, 18371, 10649]","[1, 3, 2, 3, 1]","[8, 2, 6, 0, 4]","[4, 4, 3, 4, 9]"
B61,0,47505,-14514,4,11,15,-7,"[8376, 8139, 12863, 11741, 6386]","[1, 0, 1, 1, 1]","[4, 4, 1, 0, 2]","[3, 4, 3, 2, 3]"
R61,1,62019,14514,11,4,33,7,"[13046, 12995, 13003, 15031, 7944]","[2, 2, 3, 4, 0]","[0, 2, 0, 1, 1]","[5, 7, 7, 6, 8]"
B62,0,74619,-1691,20,20,56,0,"[15573, 12540, 17751, 17574, 11181]","[5, 3, 5, 3, 4]","[2, 3, 5, 4, 6]","[8, 14, 11, 14, 9]"
R62,1,76310,1691,20,20,41,0,"[17003, 13038, 17727, 18353, 10189]","[2, 0, 10, 7, 1]","[2, 3, 6, 4, 5]","[10, 7, 7, 6, 11]"
B63,1,70930,9269,19,3,42,16,"[14029, 12300, 18430, 16233, 9938]","[2, 2, 7, 6, 2]","[1, 1, 0, 0, 1]","[10, 11, 4, 6, 11]"
R63,0,61661,-9269,3,19,6,-16,"[11912, 11862, 13592, 15785, 8510]","[0, 0, 1, 2, 0]","[5, 4, 3, 5, 2]","[2, 1, 0, 0, 3]"
B64,0,68445,-3720,8,15,25,-7,"[13588, 12089, 16106, 17509, 9153]","[1, 1, 2, 4, 0]","[5, 1, 5, 1, 3]","[4, 7, 4, 3, 7]"
R64,1,72165,3720,15,8,40,7,"[13528, 14201, 17778, 17001, 9657]","[1, 4, 6, 4, 0]","[2, 2, 1, 0, 3]","[8, 8, 7, 6, 11]"
B65,1,75833,8424,17,11,43,6,"[14314, 14842, 17373, 19417, 9887]","[0, 0, 9, 6, 2]","[5, 0, 3, 0, 3]","[7, 14, 7, 8, 7]"
R65,0,67409,-8424,11,17,22,-6,"[14728, 12062, 15964, 15703, 8952]","[2, 2, 3, 3, 1]","[2, 4, 3, 4, 4]","[3, 3, 4, 5, 7]"
B66,1,65400,14169,17,7,42,10,"[11681, 13393, 15265, 15235, 9826]","[2, 5, 3, 5, 2]","[2, 1, 2, 1, 1]","[5, 9, 10, 6, 12]"
R66,0,51231,-14169,7,17,16,-10,"[10013, 10151, 12393, 11883, 6791]","[2, 1, 3, 1, 0]","[6, 3, 2, 3, 3]","[2, 5, 2, 2, 5]"
B67,0,38525,-20820,3,21,12,-18,"[7756, 6937, 8992, 9484, 5356]","[0, 0, 2, 1, 0]","[4, 7, 1, 4, 5]","[3, 3, 1, 2, 3]"
R67,1,59345,20820,21,3,59,18,"[11125, 11571, 13726, 13951, 8972]","[2, 4, 4, 9, 2]","[1, 1, 0, 0, 1]","[13, 14, 11, 8, 13]"
B68,1,79626,18469,20,7,54,13,"[16208, 15510, 16721, 20264, 10923]","[5, 2, 5, 7, 1]","[2, 2, 3, 0, 0]","[13, 14, 5, 7, 15]"
R68,0,61157,-18469,7,20,19,-13,"[11097, 11089, 15801, 14887, 8283]","[2, 1, 2, 2, 0]","[5, 4, 4, 3, 4]","[4, 6, 2, 2, 5]"
B69,1,54312,14987,11,4,27,7,"[10419, 10559, 12659, 13347, 7328]","[3, 3, 4, 1, 0]","[0, 0, 2, 1, 1]","[4, 3, 3, 8, 9]"
R69,0,39325,-14987,4,11,12,-7,"[8113, 7508, 8961, 9634, 5109]","[0, 1, 2, 1, 0]","[2, 2, 5, 1, 1]","[2, 2, 2, 3, 3]"
B70,0,42988,-13588,9,21,19,-12,"[8493, 7190, 11002, 10507, 5796]","[2, 1, 3, 3, 0]","[5, 2, 3, 4, 7]","[3, 2, 4, 3, 7]"
R70,1,56576,13588,21,9,35,12,"[10776, 12054, 13297, 12939, 7510]","[5, 5, 5, 6, 0]","[1, 3, 3, 0, 2]","[8, 7, 2, 6, 12]"
B71,0,43575,-19720,3,20,2,-17,"[7690, 9421, 10135, 10547, 5782]","[0, 2, 1, 0, 0]","[3, 4, 5, 3, 5]","[1, 0, 0, 0, 1]"
R71,1,63295,19720,20,3,47,17,"[11065, 13493, 13941, 16596, 8200]","[1, 7, 3, 9, 0]","[0, 1, 0, 0, 2]","[12, 8, 9, 6, 12]"
B72,0,56988,-3699,10,16,15,-6,"[10471, 11703, 12657, 14135, 8022]","[0, 3, 3, 3, 1]","[6, 3, 3, 3, 1]","[0, 4, 3, 2, 6]"
R72,1,60687,3699,16,10,54,6,"[12861, 11836, 13161, 14303, 8526]","[3, 2, 5, 5, 1]","[0, 1, 4, 1, 4]","[12, 13, 8, 10, 11]"
B73,1,60462,3413,13,11,34,2,"[12796, 11480, 13009, 15165, 8012]","[3, 2, 0, 7, 1]","[2, 3, 3, 1, 2]","[8, 7, 10, 1, 8]"
R73,0,57049,-3413,11,13,22,-2,"[11682, 10186, 12511, 14321, 8349]","[2, 2, 4, 3, 0]","[3, 4, 4, 2, 0]","[4, 6, 1, 2, 9]"
B74,0,66491,-7573,13,20,33,-7,"[12804, 10584, 15590, 18800, 8713]","[1, 2, 3, 7, 0]","[4, 3, 8, 2, 3]","[7, 4, 8, 4, 10]"
R74,1,74064,7573,20,13,34,7,"[16568, 12349, 18981, 16942, 9224]","[7, 1, 7, 4, 1]","[1, 3, 2, 2, 5]","[3, 10, 5, 8, 8]"
B75,0,53798,-13033,3,13,7,-10,"[10833, 9252, 13007, 13734, 6972]","[0, 1, 2, 0, 0]","[2, 2, 2, 3, 4]","[1, 1, 1, 1, 3]"
R75,1,66831,13033,13,3,34,10,"[14081, 12395, 14324, 17090, 8941]","[3, 0, 4, 6, 0]","[1, 0, 2, 0, 0]","[6, 10, 5, 5, 8]"
